Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-04-15,44.51,45.09,45.68,44.22,582599,2655668147.00,3.28,1.35,0.60,4.01
2024-04-16,44.59,45.50,46.86,44.34,894511,4133384416.00,5.59,0.91,0.41,6.15
2024-04-17,46.02,47.48,47.49,45.29,896397,4222330170.00,4.84,4.35,1.98,6.16
2024-04-18,46.67,46.24,47.38,45.71,799053,3755342942.00,3.52,-2.61,-1.24,5.49
2024-04-19,45.84,44.16,46.18,43.80,769633,3476562505.00,5.15,-4.50,-2.08,5.29
2024-04-22,41.69,42.00,42.47,41.42,718340,3054102991.00,2.38,-4.89,-2.16,4.94
2024-04-23,42.37,41.37,42.61,41.29,450558,1907479882.00,3.14,-1.50,-0.63,3.10
2024-04-24,41.89,43.70,43.93,41.61,692655,3009989577.00,5.61,5.63,2.33,4.76
2024-04-25,43.28,43.68,44.31,43.07,425567,1882776919.00,2.84,-0.05,-0.02,2.93
2024-04-26,44.30,46.08,46.49,44.30,857434,3974279498.00,5.01,5.49,2.40,5.89
2024-04-29,46.63,47.26,47.71,46.37,732785,3484542894.00,2.91,2.56,1.18,5.04
2024-04-30,47.49,47.17,48.15,46.28,716256,3418884333.00,3.96,-0.19,-0.09,4.92
2024-05-06,48.11,46.70,48.14,46.37,533740,2543443165.00,3.75,-1.00,-0.47,3.67
2024-05-07,46.79,45.77,47.15,45.41,549856,2567492988.00,3.73,-1.99,-0.93,3.78
2024-05-08,45.51,45.58,46.22,45.05,352290,1625081187.00,2.56,-0.42,-0.19,2.42
2024-05-09,45.60,45.99,45.99,45.04,447618,2063118053.00,2.08,0.90,0.41,3.08
2024-05-10,45.79,43.99,45.84,43.80,623749,2800010189.00,4.44,-4.35,-2.00,4.29
2024-05-13,43.59,43.08,44.07,42.91,377971,1659776379.00,2.64,-2.07,-0.91,2.60
2024-05-14,43.35,43.72,43.87,42.93,351395,1546108924.00,2.18,1.49,0.64,2.42
2024-05-15,43.50,43.26,44.02,43.02,311629,1370639714.00,2.29,-1.05,-0.46,2.14
2024-05-16,43.90,44.02,44.79,43.41,590214,2634438047.00,3.19,1.76,0.76,4.06
2024-05-17,43.59,43.71,43.89,43.07,365430,1606180048.00,1.86,-0.70,-0.31,2.51
2024-05-20,43.39,44.04,44.44,42.90,462990,2050165372.00,3.52,0.75,0.33,3.18
2024-05-21,44.12,43.37,44.44,43.32,296624,1314177015.00,2.54,-1.52,-0.67,2.04
2024-05-22,43.28,43.38,43.58,42.99,241930,1060049367.00,1.36,0.02,0.01,1.66
2024-05-23,43.72,42.14,43.79,41.94,418900,1803930999.00,4.26,-2.86,-1.24,2.88
2024-05-24,42.14,40.84,42.61,40.84,415192,1753840792.00,4.20,-3.08,-1.30,2.85
2024-05-27,40.88,41.66,41.66,40.20,390834,1618755955.00,3.57,2.01,0.82,2.69
2024-05-28,41.46,40.64,41.78,40.58,284395,1182942445.00,2.88,-2.45,-1.02,1.96
2024-05-29,40.89,40.07,41.05,39.62,345946,1409572602.00,3.52,-1.40,-0.57,2.38
2024-05-30,39.74,39.89,40.25,39.28,249240,1002547349.00,2.42,-0.45,-0.18,1.71
2024-05-31,39.96,40.36,41.17,39.80,309811,1271946657.00,3.43,1.18,0.47,2.13
2024-06-03,40.37,40.27,40.78,39.84,290386,1186885843.00,2.33,-0.22,-0.09,2.00
